idx	X	Y	component
0	1000	11929.60232396374	0
1	38175.92246438629	12586.63443459005	0
2	38175.92246057228	12586.6344346079	0
3	38175.96649232164	12586.81053588727	0
4	38175.96698040446	12586.81266591935	0
5	38175.8873562514	12586.43227929384	0
6	38175.92315972632	12586.62117835874	0
7	41366.15660023079	10690.68984271604	0
8	41366.15649023702	10690.68987976677	0
9	41366.19095872032	10690.66382426973	0
10	41366.18878779468	10690.6653989295	0
11	43049.2201759393	10112.52450182682	0
12	43049.08321296371	10112.57066602043	0
13	43049.358949237	10112.47784258874	0
14	43049.22548419976	10112.52283900062	0
15	44319.08833602207	9923.795743009012	0
16	44319.0634414154	9923.788085229731	0
17	44319.09404529309	9923.797525133004	0
18	44319.09408137186	9923.797532071439	0
19	49560.15537999833	11028.33483972514	0
20	49560.15539526083	11028.33483974625	0
21	49560.25112866217	11028.30327258682	0
22	49560.25115293625	11028.3032801086	0
23	82646.27407000441	11074.30743107414	0
24	82646.2172876035	11074.52430704211	0
25	82646.33243964316	11074.08532729139	0
26	82646.27517440467	11074.30336390747	0
27	84970.35832796787	10321.43548075757	0
28	84970.35822900195	10321.43548746909	0
29	84970.52831378559	10321.29112924936	0
30	84970.52821419158	10321.29109374164	0
31	94395.14907659747	11464.0976085641	0
32	94395.14701278837	11464.09643835047	0
33	94395.09892620891	11464.07155187715	0
34	94395.09202147054	11464.06815940538	0
35	109803.7496435634	10416.11027269254	0
36	109803.7624181496	10416.10973019613	0
37	109803.7368017282	10416.11084544862	0
38	109803.7368017272	10416.11084544867	0
39	115883.9954132984	11874.1538777478	0
40	115883.8229228811	11873.98450735025	0
41	115884.0196697921	11874.17613074111	0
42	115884.017901637	11874.1743700825	0
43	150320.458586685	9978.196476341336	0
44	150320.4728625405	9978.067848121122	0
45	150320.4502296938	9978.320353392044	0
46	150320.4639952342	9978.195758150807	0
47	157343.3135132224	12077.55617594946	0
48	157343.3135409199	12077.55618355298	0
49	157343.6064480515	12077.60601953931	0
50	157343.60645907	12077.60601913965	0
51	186999.1490296097	11001.4106492794	0
52	186999.146596894	11001.41103232648	0
53	186999.2344584921	11001.39728241751	0
54	186999.2368416119	11001.39689910984	0
55	238069.4376157661	12010.41532836513	0
56	238069.3141479442	12010.06134857303	0
57	238069.56282506	12010.77411196915	0
58	238069.4381760962	12010.41692459418	0
59	238570.0649391832	11788.01609113313	0
60	238570.046119501	11787.98994640115	0
61	238570.0868937016	11788.04631810241	0
62	238570.0649525043	11788.01609077052	0
63	244691.4037302216	9766.117018545252	0
64	244691.4037302206	9766.117018545257	0
65	244691.5183192662	9766.116126677993	0
66	244691.5233946585	9766.116136394599	0
67	263976.695639728	10873.69669549256	0
68	263976.695589594	10873.69665429963	0
69	263976.7225871616	10873.78313599822	0
70	263976.722770409	10873.78289654182	0
71	263976.5848847044	10881.46113701992	0
72	263976.584905151	10881.46113487549	0
73	263976.5777025079	10881.53981185234	0
74	263976.577551016	10881.54220117832	0
75	273805.4707644049	10523.30403822048	0
76	273805.4707644054	10523.30403821961	0
77	273805.5867900369	10523.08936572191	0
78	273805.5898946682	10523.08395386873	0
79	293863.2823600601	11360.57270182068	0
80	293863.2822463078	11360.57270162341	0
81	293863.3189751486	11360.57594546428	0
82	293863.3150557441	11360.57552931307	0
83	301560.1816555238	10113.18791800743	0
84	301560.1816376742	10113.18791797159	0
85	301560.2329306923	10113.21408908347	0
86	301560.235115991	10113.215282989	0
87	316381.9230000995	11861.56181931822	0
88	316381.9177103938	11861.56207946114	0
89	316381.9700687141	11861.55997482606	0
90	316381.9752176034	11861.55977148886	0
91	325951.9535827449	10999.2749927408	0
92	325951.9213676868	10999.3084617243	0
93	325951.9960804834	10999.22965439597	0
94	325951.9621362748	10999.26488474994	0
95	344507.7912735642	11305.2886447499	0
96	344507.7912783761	11305.28864588724	0
97	344507.7908777955	11305.12408489236	0
98	344507.791002072	11305.12636041025	0
99	420035.7914417072	8626.358530399757	0
100	420035.7912255878	8626.358490096049	0
101	420036.4407217899	8627.125618530485	0
102	420035.7918649114	8626.358542612936	0
103	420036.440758561	8627.125559259401	0
104	420036.4407639243	8627.125557749192	0
105	420169.7392526976	8712.22618620221	0
106	420169.7392952798	8712.226169601381	0
107	420170.6043979913	8712.749381897207	0
108	420169.7391923392	8712.226168630104	0
109	420170.6044897721	8712.749352022662	0
110	420170.6045520438	8712.749391684139	0
111	420174.8257059014	8715.524788525607	0
112	420174.8250225509	8715.524665332936	0
113	420175.7372572206	8715.957796583492	0
114	420174.8256902249	8715.524781502007	0
115	420175.737476252	8715.957859612841	0
116	420175.737476251	8715.957859612803	0
117	420180.5743808828	8717.408139029989	0
118	420180.5745273644	8717.40812544986	0
119	420181.5418417227	8717.682024442342	0
120	420180.5743413888	8717.408142807964	0
121	420181.5417508684	8717.681986313701	0
122	420181.5417049198	8717.682053543927	0
123	420232.9442582668	8756.862986010905	0
124	420232.9443892174	8756.862977607754	0
125	420233.7712809065	8757.443947088004	0
126	420232.9451217647	8756.862937050961	0
127	420233.7738149746	8757.444148220507	0
128	420233.7712929528	8757.444140770553	0
129	420235.3041755129	8758.766632849578	0
130	420235.3041063854	8758.766594168646	0
131	420236.0922293832	8759.401603623817	0
132	420235.3038971247	8758.766414982932	0
133	420236.0922477127	8759.401607812946	0
134	420236.0922884899	8759.401604249582	0
135	420278.7577508122	8780.658115372633	0
136	420278.7577204621	8780.658128062199	0
137	420279.6053979144	8781.201198223946	0
138	420278.7582908219	8780.658368678125	0
139	420279.6050195764	8781.201027141262	0
140	420279.6054730802	8781.201230538554	0
141	420356.8708595929	8807.026494629077	0
142	420356.871491729	8807.026504211455	0
143	420357.6354380235	8807.684043608006	0
144	420356.8709786277	8807.026478541386	0
145	420357.6367577395	8807.684378479793	0
146	420357.6353033428	8807.683985037202	0
147	420359.2385575279	8808.948011084125	0
148	420359.2386585097	8808.948061947049	0
149	420360.1105331737	8809.468954758406	0
150	420359.2387222443	8808.948181375161	0
151	420360.110542645	8809.469479008545	0
152	420360.1107788698	8809.46959681376	0
153	420495.9566128679	8922.894203066689	0
154	420495.9566128671	8922.894203066135	0
155	420496.6009941654	8923.668893949787	0
156	420495.9569321821	8922.894426398965	0
157	420496.6013859255	8923.668987180634	0
158	420496.6014004031	8923.669007637571	0
159	420523.2602504235	8940.273058028963	0
160	420523.2605263037	8940.273159146196	0
161	420524.9993936699	8941.368271146595	0
162	420523.2606530699	8940.27331560227	0
163	420524.9990634531	8941.369815437596	0
164	420524.9990872336	8941.369851389154	0
165	420526.2383340592	8942.99942667536	0
166	420526.2385741713	8942.999371016298	0
167	420526.6805434989	8943.911937899487	0
168	420526.2385238389	8942.999314645076	0
169	420526.6804299821	8943.911689460947	0
170	420526.6805564769	8943.911973914206	0
171	420528.8123360276	8948.513079559825	0
172	420528.8122608528	8948.513103222152	0
173	420529.3583080366	8949.361091371129	0
174	420528.8123460763	8948.513100416247	0
175	420529.361315154	8949.361219983582	0
176	420529.3614434615	8949.361388690042	0
177	420578.2721595201	9002.144796900109	0
178	420578.2728697576	9002.144812378487	0
179	420578.6398891406	9003.083677395443	0
180	420578.272176593	9002.1447947243	0
181	420578.6399789301	9003.083504256942	0
182	420578.63982644	9003.083688951872	0
183	420709.3942840542	9107.525237061212	0
184	420709.3941579377	9107.525432949273	0
185	420710.3085693642	9107.965456963677	0
186	420709.3942729835	9107.525202370691	0
187	420710.3085659306	9107.964892812968	0
188	420710.3085510324	9107.965461266387	0
189	420727.2185329345	9134.628523410443	0
190	420727.2187042888	9134.628751383643	0
191	420727.8500263626	9135.405359611703	0
192	420727.2192704512	9134.62644237914	0
193	420727.8505703649	9135.405885254631	0
194	420727.8504971946	9135.405821190272	0
195	420755.1433876899	9166.989017232259	0
196	420755.1419735763	9166.990210493741	0
197	420755.8489841125	9167.727878845657	0
198	420755.1435662118	9166.989200280384	0
199	420755.8498976945	9167.726689911076	0
200	420755.8499152586	9167.726720642102	0
201	421204.5186869235	9448.161289940408	0
202	421204.5185834076	9448.161259630804	0
203	421206.2027071055	9449.302565800561	0
204	421204.5189027704	9448.163568788392	0
205	421206.202434407	9449.30281726879	0
206	421206.2027175364	9449.302546582847	0
207	421207.069521945	9449.837358336037	0
208	421207.0697351482	9449.837343944155	0
209	421207.9794429318	9450.307475844535	0
210	421207.0661907339	9449.833595582908	0
211	421207.9886416749	9450.266061365177	0
212	421207.9796910058	9450.307677653278	0
213	421352.2439173752	9616.48304693345	0
214	421352.2416753701	9616.478035268223	0
215	421351.7010507171	9617.328514653285	0
216	421352.2441393358	9616.483179366975	0
217	421351.7042372106	9617.33408811988	0
218	421351.7040053454	9617.333413800736	0
219	421376.2740120588	9669.831107011833	0
220	421376.0729343909	9669.709673203966	0
221	421379.3879072926	9671.976757893935	0
222	421376.2737683175	9669.830616497511	0
223	421379.2215106339	9671.848392888922	0
224	421379.2223935969	9671.85009525325	0
225	421431.1966725487	9710.288235774671	0
226	421431.154953426	9710.25054912069	0
227	421432.1623451807	9710.359141024963	0
