idx	X	Y	component
141	62642.953887171	416488.9027057617	0
142	62642.95642219903	416488.905921174	0
143	62642.54094965325	416488.8784835951	0
144	62642.53669906571	416488.8812344547	0
145	41790.92328725918	408045.43474907	0
146	41790.92572885193	408044.763673369	0
147	41790.98976658855	408047.8188601848	0
148	41790.92283653759	408045.4379004605	0
149	38073.118989315	411146.1294333526	0
150	38073.18485453969	411146.0032882428	0
151	38073.04529713769	411146.3122783605	0
152	38073.11927723361	411146.1294282759	0
153	37136.87909424084	410602.1419427597	0
154	37136.86916171049	410602.1693946039	0
155	37135.97559224674	410601.840350971	0
156	37136.87457130675	410602.1341902933	0
157	37135.97153646045	410601.8139760997	0
158	37135.96901160793	410601.8141046682	0
159	11074.31554829248	387319.1273739001	0
160	11074.31611988402	387319.1359233892	0
161	11074.3631690942	387319.9866458477	0
162	11074.36602497543	387319.9865842734	0
163	10326.08273615479	383621.3984751974	0
164	10326.95758643746	383630.062819942	0
165	10415.01106350881	397659.9989197773	0
166	10414.60970184987	397662.7362790357	0
167	10416.22108991758	397656.9933787026	0
168	10415.01261563436	397659.9860461949	0
169	10416.19531038171	397656.7662679161	0
170	10416.19556051155	397656.7645059033	0
171	10410.31082440657	399346.4266866769	0
172	10410.30480639031	399346.4155246699	0
173	10410.3303870603	399348.4050737174	0
174	10410.30315362499	399346.3831610075	0
175	10410.73856913939	399349.9937974197	0
176	10410.3331155068	399348.4079952551	0
177	8132.502055657329	402429.4997235435	0
178	8132.503022566903	402429.5001829548	0
179	8133.640194271575	402428.1053895985	0
180	8132.179139922024	402429.8921125609	0
181	8133.650030014571	402428.0948276919	0
182	8133.633314134669	402428.107501074	0
183	7540.510395003133	400990.7714171053	0
184	7540.52013385098	400990.7660648498	0
185	7535.655216144747	400995.3975286499	0
186	7540.546600061352	400990.7435850584	0
187	7535.55621485447	400995.5015346823	0
188	7535.687794664409	400995.3732381493	0
189	5574.725670699263	398578.6883104684	0
190	5574.724830720341	398578.6940283309	0
191	5574.439718842041	398579.3169073077	0
192	5574.246893843403	398579.5041666448	0
193	5574.571541982586	398579.1357959059	0
194	5574.443181656301	398579.3142572619	0
195	2458.366924580885	396704.7704214836	0
196	2457.863567863358	396704.8350687132	0
197	2457.566253217869	396705.1152063357	0
198	2458.366924581933	396704.7704214835	0
199	2457.572371558053	396705.1084365407	0
200	2457.567360047833	396705.1148332578	0
201	1178.380354517023	393493.5494249015	0
202	1178.36563999264	393493.5584444532	0
203	1177.918842743733	393493.3861892347	0
204	1178.376962853596	393493.5437010327	0
205	1177.934889665456	393493.3706779187	0
206	1177.917538889684	393493.3855639599	0
207	1170.74400670419	393488.6195663778	0
208	1170.742520305561	393488.6213892914	0
209	1169.71009071148	393489.2968498393	0
