idx	X	Y	component
0	1000	12317.22127022097	0
1	38177.8701518092	13702.32745673662	0
2	38177.86910882032	13702.3251109526	0
3	38177.84651669028	13702.27532911089	0
4	38177.85393735976	13702.29655903618	0
5	38177.67691959067	13702.81617128685	0
6	38177.67687565742	13702.81620358161	0
7	41313.37972810492	11751.61747379674	0
8	41313.38068794664	11751.62123946699	0
9	41313.32409261627	11751.41538129022	0
10	41313.32400362186	11751.41535971605	0
11	43071.04094546397	11543.73795822275	0
12	43071.04048688141	11543.74013599587	0
13	43071.08076311814	11543.57285569011	0
14	43071.08184695062	11543.56847840888	0
15	44254.90286569763	11077.98075926837	0
16	44254.90526802398	11077.98071272295	0
17	44255.01858137498	11077.97883897599	0
18	44255.01865388098	11077.97882185504	0
19	49292.5805941186	9388.355588397604	0
20	49292.58436796621	9388.354016013807	0
21	49292.79319643498	9388.270452094046	0
22	49292.79321265634	9388.27045643766	0
23	82380.51211677381	10893.37110386176	0
24	82380.5120886471	10893.37110380214	0
25	82380.61045719949	10893.33826476325	0
26	82380.51846098053	10893.36930195899	0
27	84781.36696490647	10444.14906925663	0
28	84781.3669509999	10444.14906884269	0
29	84781.62319235811	10444.09740788073	0
30	84781.6231346951	10444.09737556332	0
31	94055.06746507068	12483.7145411659	0
32	94055.06942075964	12483.7103565678	0
33	94055.13117718259	12483.57248980641	0
34	94055.13119338312	12483.5724896812	0
35	109506.6170704586	12202.31264543537	0
36	109506.6145937417	12202.31296186521	0
37	109506.6655113007	12202.30651416176	0
38	109506.6655246285	12202.30651422248	0
39	115678.7312753576	11292.01238827103	0
40	115678.7015150567	11292.05093936679	0
41	115678.7549455651	11291.981724371	0
42	115678.7564998653	11291.97976462191	0
43	150033.8311737436	12263.75799598597	0
44	150033.8311285404	12263.75799385786	0
45	150033.9452723057	12263.84693880855	0
46	150033.8715206248	12263.78943731496	0
47	157208.9621224452	10985.60179457169	0
48	157208.9553899918	10985.60183621944	0
49	157209.1273251947	10985.6006719968	0
50	157209.1319774754	10985.60064015858	0
51	186961.3268612092	11433.64713469821	0
52	186961.3268115341	11433.64713309141	0
53	186961.4086249719	11433.66469614449	0
54	186961.4086000631	11433.66469528336	0
55	238016.1796360924	12327.34884796567	0
56	238016.1796239738	12327.34884786246	0
57	238016.4746635142	12327.09903949243	0
58	238016.4758955037	12327.09794177557	0
59	238547.875596221	12188.02462406869	0
60	238547.8778463248	12188.14226567118	0
61	238547.9649515967	12187.96114406027	0
62	238547.9658582995	12187.95915849196	0
63	244703.4328400671	10244.50998639699	0
64	244703.4150237477	10244.51397952575	0
65	244703.4661368086	10244.50145431929	0
66	244703.4664395678	10244.50147801162	0
67	263907.9530508303	11865.5660668412	0
