idx	X	Y	component
62	78971.21056972491	338806.5013350348	0
63	78935.66090151784	338842.4762226798	0
64	78935.69379428751	338842.409504488	0
65	78935.61567791598	338843.9826706704	0
66	78935.66031746916	338842.4768270342	0
67	78936.65209156857	338844.6699668349	0
68	78935.61373026692	338843.984741581	0
69	78841.68818983529	338883.9318240691	0
70	78841.6767824993	338883.9353335942	0
71	78839.29118759139	338883.9601759552	0
72	78846.67832582141	338885.9268996809	0
73	78838.78459774307	338884.3624687438	0
74	78839.29435533588	338883.9572789018	0
75	78834.05374489469	338888.9713743884	0
76	78834.05679644016	338888.9717330222	0
77	78832.86183579778	338888.2128678626	0
78	78834.14436622267	338891.1518395553	0
79	78832.82981081074	338888.317270254	0
80	78832.85666124616	338888.2258131135	0
81	78819.55135620269	338901.0212748768	0
82	78819.5272793211	338901.0262394557	0
83	78820.20611704723	338901.8664085873	0
84	78819.39419560437	338901.2096001876	0
85	78822.32449683757	338903.4750125137	0
86	78820.20242961519	338901.8693994788	0
87	78816.79369955859	338913.8860340535	0
88	78816.7756895104	338913.8996690708	0
89	78816.41522234748	338914.5594714147	0
90	78817.21494174027	338914.2418305906	0
91	78816.56937925052	338914.8346180904	0
92	78816.42054958455	338914.5575630972	0
93	78814.5389591686	338916.5867543183	0
94	78814.53567254147	338916.5885944878	0
95	78814.29412151384	338917.6007607438	0
96	78814.57603079593	338916.6971740955	0
97	78814.54389820062	338917.7098466686	0
98	78814.53597636521	338917.7086505744	0
99	78810.91226157639	338920.6968509203	0
100	78810.9130572651	338920.6950144931	0
101	78810.79319209489	338921.3348043716	0
102	78810.83142802212	338920.8293411591	0
103	78811.64697218267	338922.2095230851	0
104	78810.79331064085	338921.3341078766	0
105	78803.26755815023	338929.1596959188	0
106	78803.26583623723	338929.1575522703	0
107	78803.04861204233	338930.0577990552	0
108	78803.46201743116	338929.3281872616	0
109	78803.09292155458	338930.1939994777	0
110	78803.05495472671	338930.0459870272	0
111	78798.23421535129	338933.8334908461	0
112	78798.2309990928	338933.8334774965	0
113	78798.40257360693	338934.7626972176	0
114	78798.24134767102	338933.8868763768	0
115	78798.41268127249	338934.785405817	0
116	78798.40275095985	338934.7611807816	0
117	78788.33607559255	338946.3486555495	0
118	78788.33676344622	338946.3497423596	0
119	78786.52409453387	338946.7080688815	0
120	78788.41290963278	338946.4742637597	0
121	78786.47505053133	338946.7627359006	0
122	78786.52140318602	338946.7103275182	0
123	78784.51112023438	338955.0061903758	0
124	78784.51403964777	338955.0081963282	0
125	78785.67103200103	338955.3287332525	0
126	78785.00002588774	338955.8868273046	0
127	78786.5087886313	338955.9953771702	0
128	78785.67547867028	338955.3279060577	0
129	78787.40633538086	338957.715290206	0
130	78787.40754913609	338957.715430286	0
131	78786.96830582083	338958.8969467517	0
132	78787.58901404683	338957.9857306268	0
133	78786.87496614689	338959.0125952205	0
134	78786.87969025131	338959.0110126457	0
135	78788.04319245182	338959.7496414055	0
136	78788.0452198803	338959.7484598013	0
137	78788.199242017	338959.6183326836	0
138	78788.48836427694	338959.9424464834	0
139	78788.29630605527	338959.5723051851	0
140	78788.19920801325	338959.6186651923	0
141	78783.18339040806	338964.2435022409	0
142	78783.16989775654	338964.2416714756	0
143	78781.52678454993	338964.5405411968	0
144	78784.61316378159	338964.9197593257	0
145	78782.46525910799	338965.8825863319	0
146	78781.54235862335	338964.5329412606	0
147	78775.45707468921	338971.5992173276	0
148	78775.45232187887	338971.5979354176	0
149	78777.32982639922	338976.2486735682	0
150	78775.3724729016	338972.8503721901	0
151	78777.4229468531	338976.7741799682	0
152	78777.31860602321	338976.2479410694	0
153	78776.82421667874	338976.3907177452	0
154	78776.82523430022	338976.3872887825	0
155	78778.15339234262	338977.6351585151	0
156	78775.37145811017	338979.529058623	0
157	78778.22872199491	338977.7398500567	0
158	78778.15396712348	338977.6319408211	0
159	78776.35996958124	338982.5155256237	0
160	78776.35628585913	338982.515145789	0
161	78776.39816686767	338982.8323889945	0
162	78776.83663021168	338983.6795937633	0
163	78776.31856569042	338982.8871560028	0
164	78776.40313724102	338982.8387131414	0
165	78776.56571905222	338984.5988723798	0
166	78776.55513930274	338984.599542831	0
167	78776.14531646227	338985.35637823	0
168	78777.04297483619	338985.162166646	0
169	78776.19063606719	338985.358605207	0
170	78776.19026015676	338985.3588552898	0
171	78812.15941298218	339074.7631401157	0
172	78812.15725397365	339074.7650734715	0
173	78809.53458713484	339077.3492720432	0
